,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,791824.0,529245.0,1327.0
ttbar,8326.17,6000.74,7.82
qcd,493098.47,323598.95,958.94
hbb,49.15,44.3,4.73
Zto2Q,5067.4,4066.37,177.09
Wto2Q,6701.26,5121.78,8.09
Zto2Q_BB,1630.29,1541.07,170.55
Zto2Q_CC,752.49,719.77,3.38
Zto2Q_QQ,376.17,351.35,0.0
Zto2Q_unmatched,2308.45,1454.18,3.16
