,550 ≤ bbFatJetPt_JER_up0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,1441017.0,785928.0,1237.0
ttbar,14552.15,5809.59,2.39
qcd,1171680.25,630199.84,687.71
hbb,104.99,94.77,16.81
Zto2Q,11982.18,8131.35,548.02
Wto2Q,18926.91,12862.04,11.17
Zto2Q_BB,3874.27,2922.41,535.54
Zto2Q_CC,2004.82,1667.57,9.83
Zto2Q_QQ,1505.95,1238.86,0.25
Zto2Q_unmatched,4597.14,2302.51,2.39
