,350 ≤ bbFatJetPt_JES_up0 < 450,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,791824.0,529245.0,545.0
ttbar,8004.55,5824.96,1.34
qcd,493098.47,323598.95,278.02
hbb,45.96,41.27,2.96
Zto2Q,4836.69,3883.8,153.04
Wto2Q,6399.33,4891.07,0.0
Zto2Q_BB,1554.18,1472.49,151.37
Zto2Q_CC,721.33,692.11,0.71
Zto2Q_QQ,350.7,329.07,0.07
Zto2Q_unmatched,2210.48,1390.13,0.89
