,Skimmer Preselection,HLT,350 ≤ bbFatJetPt_JER_down0 < 450,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,4599180.0,4377324.0,791824.0,529245.0,1327.0
ttbar,46570.79,41826.95,8326.89,6001.7,7.73
qcd,3307620.01,3183091.09,493098.47,323598.95,958.94
hbb,340.06,299.06,49.38,44.53,4.82
Zto2Q,33275.62,31027.73,5061.47,4063.09,176.76
Wto2Q,47182.68,45512.63,6693.85,5125.88,8.09
Zto2Q_BB,11146.23,9918.65,1629.65,1541.22,170.19
Zto2Q_CC,5272.89,4919.67,752.69,720.33,3.25
Zto2Q_QQ,3179.56,3089.75,375.69,351.26,0.0
Zto2Q_unmatched,13676.94,13099.66,2303.45,1450.28,3.32
