,350 ≤ bbFatJetPt_JER_up0 < 450,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,791824.0,529245.0,1327.0
ttbar,8321.07,5996.4,7.82
qcd,493098.47,323598.95,958.94
hbb,49.16,44.32,4.73
Zto2Q,5070.03,4067.0,176.88
Wto2Q,6724.88,5135.15,8.09
Zto2Q_BB,1631.11,1542.21,170.32
Zto2Q_CC,752.01,719.18,3.4
Zto2Q_QQ,377.15,351.69,0.0
Zto2Q_unmatched,2309.76,1453.92,3.16
