,Skimmer Preselection,HLT,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,4599180.0,4377324.0,1441017.0,785928.0,1925.0
ttbar,46570.79,41826.95,14524.48,5798.68,7.5
qcd,3307620.01,3183091.09,1171680.25,630199.84,1656.59
hbb,340.06,299.06,104.92,94.72,15.59
Zto2Q,33275.62,31027.73,11970.16,8120.42,364.23
Wto2Q,47182.68,45512.63,18915.09,12835.25,31.08
Zto2Q_BB,11146.23,9918.65,3873.44,2922.31,342.06
Zto2Q_CC,5272.89,4919.67,2001.74,1664.47,15.39
Zto2Q_QQ,3179.56,3089.75,1503.29,1235.48,1.07
Zto2Q_unmatched,13676.94,13099.66,4591.68,2298.15,5.7
