,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMR_up0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,791824.0,529245.0,1327.0
ttbar,8326.17,6003.05,7.98
qcd,493098.47,323598.95,958.94
hbb,49.15,44.3,4.73
Zto2Q,5067.4,4062.38,177.09
Wto2Q,6701.26,5105.64,8.09
Zto2Q_BB,1630.29,1540.42,170.55
Zto2Q_CC,752.49,719.8,3.38
Zto2Q_QQ,376.17,351.1,0.0
Zto2Q_unmatched,2308.45,1451.06,3.16
