,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMR_down0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,791824.0,529245.0,545.0
ttbar,8326.17,5993.83,1.36
qcd,493098.47,323598.95,278.02
hbb,49.15,44.43,3.24
Zto2Q,5067.4,4068.08,159.72
Wto2Q,6701.26,5113.03,0.0
Zto2Q_BB,1630.29,1541.99,158.05
Zto2Q_CC,752.49,719.56,0.71
Zto2Q_QQ,376.17,351.5,0.07
Zto2Q_unmatched,2308.45,1455.02,0.89
