,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis_JMS_up0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,1680514.0,1035207.0,5043.0
ttbar,14354.06,7638.45,26.45
qcd,1242115.85,753881.8,4473.49
hbb,130.33,117.05,16.84
Zto2Q,10854.12,8180.23,356.88
Wto2Q,15709.3,11533.46,21.01
Zto2Q_BB,3522.01,3046.29,333.74
Zto2Q_CC,1760.68,1585.92,13.12
Zto2Q_QQ,1020.88,897.09,0.19
Zto2Q_unmatched,4550.55,2650.92,9.82
