,Skimmer Preselection,HLT,450 ≤ bbFatJetPt_JER_down0 < 550,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,4599180.0,4377324.0,1680514.0,1035207.0,2685.0
ttbar,46570.79,41826.95,14388.15,7733.1,9.62
qcd,3307620.01,3183091.09,1242115.85,753881.8,2120.04
hbb,340.06,299.06,130.03,117.0,14.85
Zto2Q,33275.62,31027.73,10878.21,8209.29,365.11
Wto2Q,47182.68,45512.63,15749.94,11551.91,11.27
Zto2Q_BB,11146.23,9918.65,3528.4,3057.46,353.1
Zto2Q_CC,5272.89,4919.67,1762.79,1589.73,7.39
Zto2Q_QQ,3179.56,3089.75,1023.25,900.31,0.38
Zto2Q_unmatched,13676.94,13099.66,4563.78,2661.79,4.24
