,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMR_up0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,1441017.0,785928.0,1925.0
ttbar,14524.48,5846.28,7.91
qcd,1171680.25,630199.84,1656.59
hbb,104.92,94.46,15.38
Zto2Q,11970.16,8121.88,364.33
Wto2Q,18915.09,12845.85,31.08
Zto2Q_BB,3873.44,2924.32,342.2
Zto2Q_CC,2001.74,1664.45,15.39
Zto2Q_QQ,1503.29,1235.19,1.07
Zto2Q_unmatched,4591.68,2297.91,5.67
