,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,1441017.0,785928.0,3391.0
ttbar,14524.48,5798.68,19.29
qcd,1171680.25,630199.84,3161.61
hbb,104.92,94.72,11.6
Zto2Q,11970.16,8120.42,329.04
Wto2Q,18915.09,12835.25,45.8
Zto2Q_BB,3873.44,2922.31,298.7
Zto2Q_CC,2001.74,1664.47,21.34
Zto2Q_QQ,1503.29,1235.48,1.09
Zto2Q_unmatched,4591.68,2298.15,7.92
