,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMS_down0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,791824.0,529245.0,2827.0
ttbar,8326.17,6034.15,28.24
qcd,493098.47,323598.95,2036.9
hbb,49.15,44.56,6.47
Zto2Q,5067.4,4069.19,197.37
Wto2Q,6701.26,5117.85,9.32
Zto2Q_BB,1630.29,1542.75,186.77
Zto2Q_CC,752.49,720.27,4.55
Zto2Q_QQ,376.17,351.35,0.23
Zto2Q_unmatched,2308.45,1454.82,5.82
