,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMR_down0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,791824.0,529245.0,2827.0
ttbar,8326.17,5993.83,27.63
qcd,493098.47,323598.95,2036.9
hbb,49.15,44.43,6.47
Zto2Q,5067.4,4068.08,197.33
Wto2Q,6701.26,5113.03,9.32
Zto2Q_BB,1630.29,1541.99,186.73
Zto2Q_CC,752.49,719.56,4.55
Zto2Q_QQ,376.17,351.5,0.23
Zto2Q_unmatched,2308.45,1455.02,5.82
