,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,1680514.0,1035207.0,1278.0
ttbar,14354.06,7715.35,2.24
qcd,1242115.85,753881.8,746.94
hbb,130.33,117.32,12.21
Zto2Q,10854.12,8191.62,391.47
Wto2Q,15709.3,11541.36,12.93
Zto2Q_BB,3522.01,3051.54,385.78
Zto2Q_CC,1760.68,1587.71,4.46
Zto2Q_QQ,1020.88,898.3,0.0
Zto2Q_unmatched,4550.55,2654.07,1.24
