,Skimmer Preselection,HLT,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMR_down0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,4599180.0,4377324.0,791824.0,529245.0,1327.0
ttbar,46570.79,41826.95,8326.17,5993.83,7.85
qcd,3307620.01,3183091.09,493098.47,323598.95,958.94
hbb,340.06,299.06,49.15,44.43,4.73
Zto2Q,33275.62,31027.73,5067.4,4068.08,176.95
Wto2Q,47182.68,45512.63,6701.26,5113.03,8.09
Zto2Q_BB,11146.23,9918.65,1630.29,1541.99,170.41
Zto2Q_CC,5272.89,4919.67,752.49,719.56,3.38
Zto2Q_QQ,3179.56,3089.75,376.17,351.5,0.0
Zto2Q_unmatched,13676.94,13099.66,2308.45,1455.02,3.16
