,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMS_down0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,791824.0,529245.0,1327.0
ttbar,8326.17,6034.15,7.92
qcd,493098.47,323598.95,958.94
hbb,49.15,44.56,4.73
Zto2Q,5067.4,4069.19,177.24
Wto2Q,6701.26,5117.85,8.09
Zto2Q_BB,1630.29,1542.75,170.55
Zto2Q_CC,752.49,720.27,3.38
Zto2Q_QQ,376.17,351.35,0.0
Zto2Q_unmatched,2308.45,1454.82,3.31
