,550 ≤ bbFatJetPt_JES_down0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,1441017.0,785928.0,3391.0
ttbar,14136.52,5612.81,18.58
qcd,1171680.25,630199.84,3161.61
hbb,101.41,91.59,11.12
Zto2Q,11605.78,7854.24,317.33
Wto2Q,18310.46,12411.47,44.24
Zto2Q_BB,3752.43,2821.87,287.98
Zto2Q_CC,1936.06,1605.75,20.44
Zto2Q_QQ,1464.15,1202.04,1.09
Zto2Q_unmatched,4453.14,2224.59,7.83
