,Skimmer Preselection,HLT,550 ≤ bbFatJetPt_JES_down0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,4599180.0,4377324.0,1441017.0,785928.0,1925.0
ttbar,46570.79,41826.95,14136.52,5612.81,7.19
qcd,3307620.01,3183091.09,1171680.25,630199.84,1656.59
hbb,340.06,299.06,101.41,91.59,15.05
Zto2Q,33275.62,31027.73,11605.78,7854.24,353.06
Wto2Q,47182.68,45512.63,18310.46,12411.47,30.97
Zto2Q_BB,11146.23,9918.65,3752.43,2821.87,331.26
Zto2Q_CC,5272.89,4919.67,1936.06,1605.75,15.05
Zto2Q_QQ,3179.56,3089.75,1464.15,1202.04,1.07
Zto2Q_unmatched,13676.94,13099.66,4453.14,2224.59,5.68
