,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMS_down0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,1441017.0,785928.0,1925.0
ttbar,14524.48,5870.4,7.81
qcd,1171680.25,630199.84,1656.59
hbb,104.92,94.79,15.59
Zto2Q,11970.16,8141.98,364.23
Wto2Q,18915.09,12849.3,31.08
Zto2Q_BB,3873.44,2931.23,342.07
Zto2Q_CC,2001.74,1667.45,15.39
Zto2Q_QQ,1503.29,1238.21,1.07
Zto2Q_unmatched,4591.68,2305.09,5.7
