,Skimmer Preselection,HLT,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMR_up0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,4599180.0,4377324.0,791824.0,529245.0,2827.0
ttbar,46570.79,41826.95,8326.17,6003.05,28.22
qcd,3307620.01,3183091.09,493098.47,323598.95,2036.9
hbb,340.06,299.06,49.15,44.3,6.47
Zto2Q,33275.62,31027.73,5067.4,4062.38,197.3
Wto2Q,47182.68,45512.63,6701.26,5105.64,9.32
Zto2Q_BB,11146.23,9918.65,1630.29,1540.42,186.7
Zto2Q_CC,5272.89,4919.67,752.49,719.8,4.55
Zto2Q_QQ,3179.56,3089.75,376.17,351.1,0.23
Zto2Q_unmatched,13676.94,13099.66,2308.45,1451.06,5.82
