,350 ≤ bbFatJetPt_JER_down0 < 450,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,791824.0,529245.0,545.0
ttbar,8326.89,6001.7,1.36
qcd,493098.47,323598.95,278.02
hbb,49.38,44.53,3.16
Zto2Q,5061.47,4063.09,160.17
Wto2Q,6693.85,5125.88,0.0
Zto2Q_BB,1629.65,1541.22,158.5
Zto2Q_CC,752.69,720.33,0.71
Zto2Q_QQ,375.69,351.26,0.07
Zto2Q_unmatched,2303.45,1450.28,0.89
