,550 ≤ bbFatJetPt_JES_down0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,1441017.0,785928.0,1237.0
ttbar,14136.52,5612.81,2.46
qcd,1171680.25,630199.84,687.71
hbb,101.41,91.59,16.47
Zto2Q,11605.78,7854.24,533.11
Wto2Q,18310.46,12411.47,11.17
Zto2Q_BB,3752.43,2821.87,521.09
Zto2Q_CC,1936.06,1605.75,9.4
Zto2Q_QQ,1464.15,1202.04,0.25
Zto2Q_unmatched,4453.14,2224.59,2.36
