,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMS_up0 < 150.0,0.1 ≤ bbFatJetParTTXbb0 < 0.9
data,1441017.0,785928.0,284352.0
ttbar,14524.48,5724.6,4170.24
qcd,1171680.25,630199.84,247619.21
hbb,104.92,94.33,36.17
Zto2Q,11970.16,8102.25,3224.75
Wto2Q,18915.09,12822.3,3996.28
Zto2Q_BB,3873.44,2915.35,1298.24
Zto2Q_CC,2001.74,1661.82,738.98
Zto2Q_QQ,1503.29,1233.28,251.04
Zto2Q_unmatched,4591.68,2291.8,936.5
