,350 ≤ bbFatJetPt_JES_down0 < 450,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,791824.0,529245.0,545.0
ttbar,8642.48,6160.53,1.47
qcd,493098.47,323598.95,278.02
hbb,52.44,47.42,3.58
Zto2Q,5312.35,4253.24,169.57
Wto2Q,7091.05,5398.27,1.88
Zto2Q_BB,1710.94,1612.43,167.78
Zto2Q_CC,790.78,753.93,0.83
Zto2Q_QQ,397.03,369.05,0.07
Zto2Q_unmatched,2413.6,1517.83,0.89
