,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMR_up0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,1441017.0,785928.0,3391.0
ttbar,14524.48,5846.28,19.47
qcd,1171680.25,630199.84,3161.61
hbb,104.92,94.46,11.69
Zto2Q,11970.16,8121.88,329.14
Wto2Q,18915.09,12845.85,45.8
Zto2Q_BB,3873.44,2924.32,298.91
Zto2Q_CC,2001.74,1664.45,21.34
Zto2Q_QQ,1503.29,1235.19,1.09
Zto2Q_unmatched,4591.68,2297.91,7.81
