,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMS_up0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,791824.0,529245.0,1327.0
ttbar,8326.17,5964.49,7.9
qcd,493098.47,323598.95,958.94
hbb,49.15,44.22,4.73
Zto2Q,5067.4,4063.08,176.95
Wto2Q,6701.26,5111.99,8.09
Zto2Q_BB,1630.29,1539.7,170.41
Zto2Q_CC,752.49,719.95,3.38
Zto2Q_QQ,376.17,351.08,0.0
Zto2Q_unmatched,2308.45,1452.35,3.16
