,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,1680514.0,1035207.0,5043.0
ttbar,14354.06,7715.35,27.1
qcd,1242115.85,753881.8,4473.49
hbb,130.33,117.32,16.84
Zto2Q,10854.12,8191.62,357.04
Wto2Q,15709.3,11541.36,22.95
Zto2Q_BB,3522.01,3051.54,333.92
Zto2Q_CC,1760.68,1587.71,13.12
Zto2Q_QQ,1020.88,898.3,0.19
Zto2Q_unmatched,4550.55,2654.07,9.82
