,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMS_up0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,1441017.0,785928.0,1237.0
ttbar,14524.48,5724.6,2.46
qcd,1171680.25,630199.84,687.71
hbb,104.92,94.33,16.91
Zto2Q,11970.16,8102.25,547.3
Wto2Q,18915.09,12822.3,11.17
Zto2Q_BB,3873.44,2915.35,534.7
Zto2Q_CC,2001.74,1661.82,9.96
Zto2Q_QQ,1503.29,1233.28,0.25
Zto2Q_unmatched,4591.68,2291.8,2.38
