,550 ≤ bbFatJetPt_JES_down0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.1 ≤ bbFatJetParTTXbb0 < 0.9
data,1441017.0,785928.0,284352.0
ttbar,14136.52,5612.81,4088.09
qcd,1171680.25,630199.84,247619.21
hbb,101.41,91.59,35.39
Zto2Q,11605.78,7854.24,3125.73
Wto2Q,18310.46,12411.47,3891.27
Zto2Q_BB,3752.43,2821.87,1256.02
Zto2Q_CC,1936.06,1605.75,716.09
Zto2Q_QQ,1464.15,1202.04,245.28
Zto2Q_unmatched,4453.14,2224.59,908.35
