,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMS_up0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,791824.0,529245.0,2827.0
ttbar,8326.17,5964.49,27.58
qcd,493098.47,323598.95,2036.9
hbb,49.15,44.22,6.47
Zto2Q,5067.4,4063.08,197.33
Wto2Q,6701.26,5111.99,9.32
Zto2Q_BB,1630.29,1539.7,186.73
Zto2Q_CC,752.49,719.95,4.55
Zto2Q_QQ,376.17,351.08,0.23
Zto2Q_unmatched,2308.45,1452.35,5.82
