,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.1 ≤ bbFatJetParTTXbb0 < 0.9
data,1441017.0,785928.0,284352.0
ttbar,14524.48,5798.68,4223.21
qcd,1171680.25,630199.84,247619.21
hbb,104.92,94.72,36.33
Zto2Q,11970.16,8120.42,3234.75
Wto2Q,18915.09,12835.25,4004.13
Zto2Q_BB,3873.44,2922.31,1303.61
Zto2Q_CC,2001.74,1664.47,739.68
Zto2Q_QQ,1503.29,1235.48,251.73
Zto2Q_unmatched,4591.68,2298.15,939.74
