,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis_JMS_down0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,1680514.0,1035207.0,2685.0
ttbar,14354.06,7799.9,9.54
qcd,1242115.85,753881.8,2120.04
hbb,130.33,117.58,14.9
Zto2Q,10854.12,8208.63,364.49
Wto2Q,15709.3,11547.05,11.27
Zto2Q_BB,3522.01,3058.2,352.53
Zto2Q_CC,1760.68,1589.37,7.45
Zto2Q_QQ,1020.88,899.77,0.38
Zto2Q_unmatched,4550.55,2661.3,4.13
