,550 ≤ bbFatJetPt_JER_down0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,1441017.0,785928.0,1925.0
ttbar,14490.93,5781.19,7.5
qcd,1171680.25,630199.84,1656.59
hbb,104.99,94.8,15.5
Zto2Q,11954.94,8108.81,364.22
Wto2Q,18863.01,12808.08,31.08
Zto2Q_BB,3869.84,2918.3,342.0
Zto2Q_CC,1998.38,1660.95,15.45
Zto2Q_QQ,1502.17,1234.33,1.07
Zto2Q_unmatched,4584.56,2295.23,5.7
