,450 ≤ bbFatJetPt_JES_down0 < 550,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,1680514.0,1035207.0,1278.0
ttbar,14265.53,7609.82,2.12
qcd,1242115.85,753881.8,746.94
hbb,129.88,116.66,12.4
Zto2Q,10858.81,8177.39,393.86
Wto2Q,15786.17,11584.36,11.04
Zto2Q_BB,3525.3,3044.76,387.69
Zto2Q_CC,1769.82,1594.41,4.9
Zto2Q_QQ,1028.78,904.13,0.0
Zto2Q_unmatched,4534.9,2634.08,1.27
