,550 ≤ bbFatJetPt_JER_up0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.1 ≤ bbFatJetParTTXbb0 < 0.9
data,1441017.0,785928.0,284352.0
ttbar,14552.15,5809.59,4232.66
qcd,1171680.25,630199.84,247619.21
hbb,104.99,94.77,36.41
Zto2Q,11982.18,8131.35,3236.42
Wto2Q,18926.91,12862.04,4003.98
Zto2Q_BB,3874.27,2922.41,1301.78
Zto2Q_CC,2004.82,1667.57,740.91
Zto2Q_QQ,1505.95,1238.86,252.13
Zto2Q_unmatched,4597.14,2302.51,941.59
