,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,1441017.0,785928.0,1237.0
ttbar,14524.48,5798.68,2.46
qcd,1171680.25,630199.84,687.71
hbb,104.92,94.72,17.0
Zto2Q,11970.16,8120.42,547.31
Wto2Q,18915.09,12835.25,11.17
Zto2Q_BB,3873.44,2922.31,534.7
Zto2Q_CC,2001.74,1664.47,9.96
Zto2Q_QQ,1503.29,1235.48,0.25
Zto2Q_unmatched,4591.68,2298.15,2.39
