,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMS_down0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,1441017.0,785928.0,3391.0
ttbar,14524.48,5870.4,19.42
qcd,1171680.25,630199.84,3161.61
hbb,104.92,94.79,11.6
Zto2Q,11970.16,8141.98,329.22
Wto2Q,18915.09,12849.3,45.8
Zto2Q_BB,3873.44,2931.23,298.88
Zto2Q_CC,2001.74,1667.45,21.34
Zto2Q_QQ,1503.29,1238.21,1.09
Zto2Q_unmatched,4591.68,2305.09,7.92
