,Skimmer Preselection,HLT,450 ≤ bbFatJetPt_JES_up0 < 550,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,4599180.0,4377324.0,1680514.0,1035207.0,5043.0
ttbar,46570.79,41826.95,14426.0,7828.91,28.01
qcd,3307620.01,3183091.09,1242115.85,753881.8,4473.49
hbb,340.06,299.06,130.22,117.23,17.13
Zto2Q,33275.62,31027.73,10811.09,8174.53,357.49
Wto2Q,47182.68,45512.63,15577.27,11447.79,20.85
Zto2Q_BB,11146.23,9918.65,3506.64,3049.22,334.29
Zto2Q_CC,5272.89,4919.67,1741.76,1575.9,13.11
Zto2Q_QQ,3179.56,3089.75,1003.57,883.47,0.19
Zto2Q_unmatched,13676.94,13099.66,4559.12,2665.94,9.91
