,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis_JMR_up0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,1680514.0,1035207.0,2685.0
ttbar,14354.06,7755.01,9.65
qcd,1242115.85,753881.8,2120.04
hbb,130.33,117.13,14.88
Zto2Q,10854.12,8193.6,364.6
Wto2Q,15709.3,11541.63,11.27
Zto2Q_BB,3522.01,3052.81,352.53
Zto2Q_CC,1760.68,1587.4,7.45
Zto2Q_QQ,1020.88,898.34,0.38
Zto2Q_unmatched,4550.55,2655.05,4.24
