,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis_JMR_down0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,1680514.0,1035207.0,5043.0
ttbar,14354.06,7696.19,27.17
qcd,1242115.85,753881.8,4473.49
hbb,130.33,117.3,16.91
Zto2Q,10854.12,8195.07,357.02
Wto2Q,15709.3,11524.82,21.01
Zto2Q_BB,3522.01,3052.45,333.89
Zto2Q_CC,1760.68,1587.15,13.12
Zto2Q_QQ,1020.88,899.01,0.19
Zto2Q_unmatched,4550.55,2656.47,9.82
