,Skimmer Preselection,HLT,350 ≤ bbFatJetPt_JES_down0 < 450,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,4599180.0,4377324.0,791824.0,529245.0,1327.0
ttbar,46570.79,41826.95,8642.48,6160.53,7.66
qcd,3307620.01,3183091.09,493098.47,323598.95,958.94
hbb,340.06,299.06,52.44,47.42,4.94
Zto2Q,33275.62,31027.73,5312.35,4253.24,181.5
Wto2Q,47182.68,45512.63,7091.05,5398.27,8.09
Zto2Q_BB,11146.23,9918.65,1710.94,1612.43,175.01
Zto2Q_CC,5272.89,4919.67,790.78,753.93,3.25
Zto2Q_QQ,3179.56,3089.75,397.03,369.05,0.0
Zto2Q_unmatched,13676.94,13099.66,2413.6,1517.83,3.23
