,Skimmer Preselection,HLT,450 ≤ bbFatJetPt_JES_up0 < 550,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,4599180.0,4377324.0,1680514.0,1035207.0,1278.0
ttbar,46570.79,41826.95,14426.0,7828.91,2.33
qcd,3307620.01,3183091.09,1242115.85,753881.8,746.94
hbb,340.06,299.06,130.22,117.23,12.38
Zto2Q,33275.62,31027.73,10811.09,8174.53,386.77
Wto2Q,47182.68,45512.63,15577.27,11447.79,12.93
Zto2Q_BB,11146.23,9918.65,3506.64,3049.22,381.09
Zto2Q_CC,5272.89,4919.67,1741.76,1575.9,4.45
Zto2Q_QQ,3179.56,3089.75,1003.57,883.47,0.0
Zto2Q_unmatched,13676.94,13099.66,4559.12,2665.94,1.24
