,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMR_up0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,791824.0,529245.0,545.0
ttbar,8326.17,6003.05,1.36
qcd,493098.47,323598.95,278.02
hbb,49.15,44.3,3.24
Zto2Q,5067.4,4062.38,159.6
Wto2Q,6701.26,5105.64,0.0
Zto2Q_BB,1630.29,1540.42,157.93
Zto2Q_CC,752.49,719.8,0.71
Zto2Q_QQ,376.17,351.1,0.07
Zto2Q_unmatched,2308.45,1451.06,0.89
