,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMR_down0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,1441017.0,785928.0,3391.0
ttbar,14524.48,5755.03,19.29
qcd,1171680.25,630199.84,3161.61
hbb,104.92,94.76,11.6
Zto2Q,11970.16,8125.25,329.31
Wto2Q,18915.09,12843.27,45.8
Zto2Q_BB,3873.44,2925.63,299.01
Zto2Q_CC,2001.74,1665.48,21.34
Zto2Q_QQ,1503.29,1237.04,1.09
Zto2Q_unmatched,4591.68,2297.11,7.88
