,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMR_down0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,1441017.0,785928.0,1925.0
ttbar,14524.48,5755.03,7.58
qcd,1171680.25,630199.84,1656.59
hbb,104.92,94.76,15.59
Zto2Q,11970.16,8125.25,364.22
Wto2Q,18915.09,12843.27,31.08
Zto2Q_BB,3873.44,2925.63,342.06
Zto2Q_CC,2001.74,1665.48,15.39
Zto2Q_QQ,1503.29,1237.04,1.07
Zto2Q_unmatched,4591.68,2297.11,5.7
