,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis_JMR_down0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,1680514.0,1035207.0,2685.0
ttbar,14354.06,7696.19,9.53
qcd,1242115.85,753881.8,2120.04
hbb,130.33,117.3,14.85
Zto2Q,10854.12,8195.07,364.37
Wto2Q,15709.3,11524.82,11.27
Zto2Q_BB,3522.01,3052.45,352.29
Zto2Q_CC,1760.68,1587.15,7.45
Zto2Q_QQ,1020.88,899.01,0.38
Zto2Q_unmatched,4550.55,2656.47,4.24
