,550 ≤ bbFatJetPt_JER_down0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.1 ≤ bbFatJetParTTXbb0 < 0.9
data,1441017.0,785928.0,284352.0
ttbar,14490.93,5781.19,4207.97
qcd,1171680.25,630199.84,247619.21
hbb,104.99,94.8,36.48
Zto2Q,11954.94,8108.81,3228.97
Wto2Q,18863.01,12808.08,3998.81
Zto2Q_BB,3869.84,2918.3,1302.77
Zto2Q_CC,1998.38,1660.95,737.13
Zto2Q_QQ,1502.17,1234.33,251.61
Zto2Q_unmatched,4584.56,2295.23,937.46
