,Skimmer Preselection,HLT,350 ≤ bbFatJetPt_JES_up0 < 450,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,4599180.0,4377324.0,791824.0,529245.0,2827.0
ttbar,46570.79,41826.95,8004.55,5824.96,26.72
qcd,3307620.01,3183091.09,493098.47,323598.95,2036.9
hbb,340.06,299.06,45.96,41.27,5.76
Zto2Q,33275.62,31027.73,4836.69,3883.8,191.4
Wto2Q,47182.68,45512.63,6399.33,4891.07,12.31
Zto2Q_BB,11146.23,9918.65,1554.18,1472.49,180.66
Zto2Q_CC,5272.89,4919.67,721.33,692.11,4.84
Zto2Q_QQ,3179.56,3089.75,350.7,329.07,0.23
Zto2Q_unmatched,13676.94,13099.66,2210.48,1390.13,5.67
