,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis_JMR_down0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,1680514.0,1035207.0,1278.0
ttbar,14354.06,7696.19,2.16
qcd,1242115.85,753881.8,746.94
hbb,130.33,117.3,12.32
Zto2Q,10854.12,8195.07,391.47
Wto2Q,15709.3,11524.82,12.93
Zto2Q_BB,3522.01,3052.45,385.78
Zto2Q_CC,1760.68,1587.15,4.46
Zto2Q_QQ,1020.88,899.01,0.0
Zto2Q_unmatched,4550.55,2656.47,1.24
