,Skimmer Preselection,HLT,450 ≤ bbFatJetPt_JES_down0 < 550,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,4599180.0,4377324.0,1680514.0,1035207.0,5043.0
ttbar,46570.79,41826.95,14265.53,7609.82,26.53
qcd,3307620.01,3183091.09,1242115.85,753881.8,4473.49
hbb,340.06,299.06,129.88,116.66,16.61
Zto2Q,33275.62,31027.73,10858.81,8177.39,357.0
Wto2Q,47182.68,45512.63,15786.17,11584.36,24.52
Zto2Q_BB,11146.23,9918.65,3525.3,3044.76,333.79
Zto2Q_CC,5272.89,4919.67,1769.82,1594.41,13.21
Zto2Q_QQ,3179.56,3089.75,1028.78,904.13,0.19
Zto2Q_unmatched,13676.94,13099.66,4534.9,2634.08,9.82
