,2 ≤ Category < 3
data,279.0
hh4b,1.96
vbfhh4b-k2v0,18.54
qcd,95.49
ttbar,72.81
gghtobb,1.44
vbfhtobb,0.07
vhtobb,3.95
novhhtobb,1.51
tthtobb,3.54
diboson,1.05
vjets,5.14
