,Skimmer Preselection,HLT
data,228146.0,133082.0
ttbar,5367.622659474648,4769.157384728174
ttlep,2832.195934649014,2253.118615692074
diboson,190.42838022955587,149.49254784618452
vjets,6167.820995783705,4088.467430029466
novhhtobb,138.50928974033002,124.98692140127783
tthtobb,32.580272008232285,30.31010870535751
vhtobb,39.434934056863476,35.282241178391295
