,0 ≤ Category < 1
data,36.0
hh4b,0.43
vbfhh4b-k2v0,30.62
qcd,7.15
ttbar,11.65
gghtobb,0.2
vbfhtobb,0.04
vhtobb,1.18
tthtobb,0.5
others,1.5
