,3 ≤ Category < 4
data,9221.0
hh4b,1.32
vbfhh4b-k2v0,13.9
qcd,2851.65
ttbar,2867.15
gghtobb,3.4
vbfhtobb,0.18
vhtobb,12.68
tthtobb,16.0
others,188.84
