,1 ≤ Category < 2
data,84.0
hh4b,0.93
vbfhh4b-k2v0,3.21
qcd,21.82
ttbar,21.26
gghtobb,0.29
vbfhtobb,0.04
vhtobb,2.26
tthtobb,0.74
others,2.5
