,2 ≤ Category < 3
data,591.0
hh4b,1.58
vbfhh4b-k2v0,10.63
qcd,131.54
ttbar,182.41
gghtobb,2.01
vbfhtobb,0.08
vhtobb,4.71
tthtobb,5.07
others,16.19
