,Preselection,bb0FatJetPNetXbb >= 0.985,bb1FatJetPNetXbb >= 0.985,bb0FatJetPt >= 450,bb1FatJetPt >= 450,100 ≤ bb0FatJetPNetMass < 150
hh4b,26.132886668701822,16.39164864743239,4.142835667485509,1.4592946120488952,1.046383964985553,0.9393003150529002
qcd,580560.9457212553,53570.377527259334,59.437628313977925,9.153205824668207,6.969885455319982,1.5907766356795408
data,786252.0,66518.0,160.0,60.0,35.0,11.0
ttbar,74234.6696337026,5936.836482440436,68.06390731478362,29.42227422312748,20.741885102251395,4.17824976136486
gghtobb,261.1873205270148,124.34127917874,0.0,0.0,0.0,0.0
vbfhtobb,35.34393192932357,20.25845066163445,0.0,0.0,0.0,0.0
vhtobb,115.01901766220054,56.73656730309162,3.0023203567164907,1.1714665730806113,0.9238381623972127,0.4373481830497893
tthtobb,184.33862454198245,37.08582208198602,0.7919068564362178,0.4269636335527247,0.2768881106772029,0.19572189905506565
diboson,601.4498702327961,185.88158334668165,1.4074250193383757,0.6787961072221697,0.6150979949456314,0.18637030957211775
vjets,15204.465593263712,3625.0129695287023,5.6357636061740815,1.88490769708862,1.6506399825175615,0.12021149707804579
