#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
368410:8870,06/03/23 23:48:50,1453,1453,0.447579974,0.425259633
368412:8870,06/04/23 09:25:10,92,92,0.018571863,0.017850067
368423:8872,06/04/23 14:14:20,474,474,0.201981901,0.192432311
368451:8873,06/04/23 23:18:33,141,141,0.061019361,0.057373215
368453:8873,06/05/23 00:22:37,1,1,0.000396073,0.000294971
368454:8873,06/05/23 00:26:44,1165,1165,0.347325527,0.333419527
368489:8877,06/05/23 13:06:06,1537,1537,0.545069002,0.522649383
368546:8880,06/06/23 04:02:46,655,655,0.297951545,0.279560371
368547:8880,06/06/23 08:21:17,673,673,0.250696255,0.238119377
368548:8880,06/06/23 13:02:12,1038,1038,0.250508802,0.241567166
368566:8882,06/06/23 22:37:56,1195,1195,0.509202952,0.480560978
368567:8882,06/07/23 06:24:22,433,433,0.132886560,0.127044693
368609:8885,06/08/23 00:28:48,999,999,0.427366438,0.407785539
368611:8885,06/08/23 07:09:42,381,381,0.124142129,0.119515106
368613:8885,06/08/23 09:55:55,260,260,0.070404166,0.068043683
368636:8887,06/08/23 21:31:45,769,769,0.328867954,0.313950744
368669:8891,06/09/23 13:10:40,369,369,0.165638546,0.157473707
368670:8891,06/09/23 15:36:20,255,255,0.120835022,0.114939663
368672:8891,06/09/23 17:40:15,866,866,0.306148327,0.293583818
368674:8891,06/10/23 00:29:40,11,11,0.002779997,0.002393005
368675:8891,06/10/23 00:36:10,50,50,0.012361974,0.011092737
368676:8891,06/10/23 00:58:19,155,155,0.036452805,0.035161723
368678:8891,06/10/23 02:02:10,171,171,0.037282319,0.036114646
368684:8894,06/10/23 07:13:07,95,95,0.026461082,0.024181768
368685:8894,06/10/23 07:53:33,1481,1481,0.587711885,0.563237419
368723:8895,06/11/23 00:11:38,92,92,0.033962368,0.032781237
368724:8895,06/11/23 01:02:34,1199,1199,0.524011052,0.498598111
368746:8896,06/11/23 11:26:58,39,39,0.008972338,0.008269401
368749:8896,06/11/23 11:52:39,168,168,0.076807953,0.072065072
368753:8896,06/11/23 13:10:11,976,976,0.430733566,0.410134541
368762:8896,06/11/23 22:38:24,192,192,0.073454727,0.068924087
368764:8896,06/12/23 00:01:59,1,1,0.000474583,0.000424111
368765:8896,06/12/23 00:07:46,1386,1386,0.559930421,0.537153844
368822:8901,06/13/23 02:28:21,945,945,0.415732918,0.395455359
368823:8901,06/13/23 08:38:47,33,33,0.013593060,0.012033419
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#46,126,55797,55797,19.011612743,18.062658998
#Check JSON:
#(run,ls) in json but not in results: []
