#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
355862:8016,07/19/22 18:12:03,13,13,0.000792458,0.000626193
355863:8016,07/19/22 18:19:43,14,14,0.000840240,0.000737608
355870:8017,07/19/22 23:02:43,36,36,0.001749608,0.001564060
355871:8017,07/19/22 23:17:54,5,5,0.000167393,0.000148624
355872:8017,07/19/22 23:24:45,1197,1197,0.077862176,0.069670631
355892:8018,07/20/22 10:25:02,184,184,0.011272114,0.010783757
355912:8019,07/20/22 14:18:53,158,158,0.010012808,0.009000126
355913:8019,07/20/22 15:22:09,106,106,0.006321538,0.005841851
355921:8020,07/20/22 18:50:02,403,403,0.024471965,0.022698630
355933:8022,07/21/22 02:07:39,370,370,0.000694896,0.000690377
355942:8023,07/21/22 06:46:45,187,187,0.001449026,0.001366196
355988:8027,07/21/22 23:03:32,44,44,0.003434926,0.002782140
355989:8027,07/21/22 23:23:47,24,24,0.002277844,0.001268138
355998:8027,07/22/22 01:35:51,35,35,0.003075829,0.002649537
355999:8027,07/22/22 01:51:17,9,9,0.000774761,0.000646332
356004:8027,07/22/22 04:04:14,19,19,0.001415494,0.001358213
356005:8027,07/22/22 04:14:46,186,186,0.012561127,0.012097352
356043:8030,07/22/22 18:00:07,65,65,0.006828246,0.005587474
356071:8033,07/23/22 12:43:15,155,155,0.017433972,0.015297015
356074:8033,07/23/22 15:21:04,26,26,0.003176619,0.003004376
356075:8033,07/23/22 15:57:05,125,125,0.015143257,0.013918014
356076:8033,07/23/22 16:56:57,152,152,0.018658814,0.017147608
356077:8033,07/23/22 17:58:32,472,472,0.051936094,0.049782857
356135:8043,07/25/22 11:06:59,26,26,0.002884946,0.002624848
356309:8057,07/27/22 17:56:02,124,124,0.011790413,0.010947992
356316:8058,07/27/22 21:40:02,141,141,0.009481466,0.009289955
356322:8059,07/28/22 01:35:06,19,19,0.002279702,0.002064846
356323:8059,07/28/22 01:45:01,649,649,0.075836397,0.072084169
356371:8062,07/28/22 16:46:34,16,16,0.001844581,0.001552840
356375:8063,07/28/22 19:04:41,68,68,0.008817905,0.006539211
356378:8063,07/28/22 20:10:25,295,295,0.043237585,0.041584402
356381:8063,07/28/22 22:10:47,1193,1193,0.133362630,0.131360427
356383:8063,07/29/22 06:04:41,33,33,0.002908269,0.002867925
356385:8063,07/29/22 06:26:25,30,30,0.002650308,0.002467943
356386:8063,07/29/22 06:41:02,122,122,0.008822513,0.008702746
356426:8067,07/29/22 13:50:08,22,22,0.003115110,0.002569638
356428:8067,07/29/22 14:11:32,300,300,0.047755357,0.045819524
356433:8067,07/29/22 17:20:28,310,310,0.049664722,0.047815436
356434:8067,07/29/22 19:22:54,13,13,0.001950284,0.001716761
356435:8067,07/29/22 19:31:01,4,4,0.000596088,0.000438619
356446:8068,07/29/22 22:05:30,612,612,0.095720054,0.092805783
356523:8076,07/31/22 18:51:42,866,866,0.164037216,0.160945096
356531:8076,08/01/22 02:10:15,56,56,0.009119290,0.008972442
