#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
379416:9517,04/14/24 17:34:18,195,195,0.042223999,0.039665176
379420:9518,04/14/24 21:02:55,515,515,0.111921266,0.105915329
379425:9519,04/15/24 02:03:52,203,203,0.038950014,0.036662559
379433:9520,04/15/24 05:13:11,21,21,0.001445962,0.001317406
379442:9521,04/15/24 07:07:46,269,269,0.056124393,0.052826824
379454:9523,04/15/24 11:25:22,498,498,0.108599939,0.098761520
379456:9523,04/15/24 14:47:09,1196,1196,0.213192269,0.200929994
379470:9525,04/16/24 00:38:26,793,793,0.176453379,0.166290707
379530:9530,04/17/24 01:12:13,593,593,0.191940700,0.179354912
379613:9537,04/18/24 03:20:17,120,120,0.031984748,0.030215392
379617:9537,04/18/24 04:23:35,664,664,0.225950277,0.212173331
379618:9537,04/18/24 08:43:50,360,360,0.102654407,0.098876336
379660:9539,04/18/24 16:49:04,1505,1505,0.435736805,0.420688731
379661:9539,04/19/24 02:37:20,406,406,0.080810141,0.079727835
379729:9543,04/19/24 17:39:09,1463,1463,0.459578078,0.446076940
379765:9548,04/20/24 14:03:25,1691,1691,0.556662016,0.529987071
379774:9549,04/21/24 03:13:58,157,157,0.052104114,0.049674628
379866:9559,04/23/24 20:37:55,1346,1346,0.282135923,0.274846832
379984:9562,04/25/24 11:47:58,912,912,0.239241943,0.232848100
380001:9564,04/25/24 20:39:17,691,691,0.240209574,0.231830483
380005:9565,04/26/24 03:10:19,1062,1062,0.368833019,0.353536384
380007:9565,04/26/24 10:12:08,129,129,0.037005951,0.035178888
380029:9566,04/26/24 15:02:20,55,55,0.011268058,0.010387435
380030:9566,04/26/24 15:37:30,345,345,0.145891573,0.138848435
380032:9566,04/26/24 19:11:02,19,19,0.007326713,0.006891669
380033:9566,04/26/24 19:21:25,53,53,0.020904664,0.019948303
380043:9567,04/26/24 22:44:31,897,897,0.359644168,0.343330821
380049:9568,04/27/24 07:10:37,869,869,0.354009254,0.334706934
380051:9568,04/27/24 12:55:48,727,727,0.224788481,0.218611685
380052:9568,04/27/24 17:45:43,12,12,0.003076304,0.002876220
380053:9568,04/27/24 17:57:47,128,128,0.031645991,0.030658378
380056:9568,04/27/24 18:55:05,168,168,0.037300450,0.035874233
380066:9569,04/27/24 22:17:19,552,552,0.221529184,0.210832262
380074:9570,04/28/24 06:24:04,1306,1306,0.488723049,0.467767458
380115:9573,04/29/24 09:42:28,1792,1792,0.634849067,0.610061044
380126:9574,04/29/24 23:29:59,950,950,0.406650722,0.381420615
380127:9574,04/30/24 05:43:19,533,533,0.175013762,0.169911028
380128:9574,04/30/24 09:15:04,387,387,0.102805180,0.100188861
380195:9575,04/30/24 23:30:14,7,7,0.003203024,0.002943249
380197:9575,05/01/24 00:09:50,357,357,0.164309292,0.155412686
380235:9579,05/01/24 17:29:48,256,256,0.102251889,0.095800937
380236:9579,05/01/24 19:12:32,56,56,0.025783814,0.023446942
380238:9579,05/01/24 20:06:47,25,25,0.011461516,0.010656638
380306:9585,05/02/24 19:54:33,242,242,0.097162731,0.091630898
380308:9585,05/02/24 21:44:38,35,35,0.016105719,0.013512556
380309:9585,05/02/24 22:01:23,345,345,0.158409587,0.149907124
380310:9585,05/03/24 00:19:19,1130,1130,0.382363037,0.369739147
380346:9593,05/03/24 16:31:34,566,566,0.242352693,0.227595311
380348:9593,05/03/24 20:21:15,341,341,0.137391317,0.130333030
380349:9593,05/03/24 22:39:04,694,694,0.211781579,0.205558334
380360:9594,05/04/24 06:56:16,1927,1927,0.680623945,0.655327190
380377:9602,05/04/24 23:50:36,420,420,0.179815128,0.170021948
380384:9603,05/05/24 06:57:47,751,751,0.328775268,0.311374383
380385:9603,05/05/24 11:54:10,1247,1247,0.395580991,0.381880031
380399:9604,05/05/24 23:17:17,494,494,0.208244994,0.198066744
380403:9604,05/06/24 03:21:24,251,251,0.106418496,0.101433755
380444:9605,05/06/24 15:21:13,322,322,0.143260342,0.134492540
380446:9605,05/06/24 17:33:05,1026,1026,0.409602811,0.392297458
380447:9605,05/07/24 00:20:05,810,810,0.208137319,0.203316370
380466:9606,05/07/24 09:21:16,477,477,0.206076563,0.191375864
380470:9606,05/07/24 13:06:34,1633,1633,0.523604246,0.508126600
380481:9608,05/08/24 05:37:58,860,860,0.375790031,0.354526675
380513:9609,05/08/24 20:35:34,1157,1157,0.487652901,0.463659292
380517:9609,05/09/24 04:20:58,39,39,0.013272158,0.012564357
380531:9610,05/09/24 07:02:24,1016,1016,0.436007115,0.412962985
380534:9610,05/09/24 13:56:20,744,744,0.225701843,0.219694281
380537:9610,05/09/24 19:09:12,58,58,0.014321158,0.013808230
380538:9610,05/09/24 19:36:56,144,144,0.032444749,0.031779333
380564:9611,05/09/24 23:47:54,742,742,0.326378483,0.308264514
380567:9611,05/10/24 04:54:24,1079,1079,0.340436020,0.331445292
380623:9614,05/11/24 20:40:52,388,388,0.164093400,0.154038705
380624:9614,05/11/24 23:16:57,809,809,0.329971193,0.314444173
380625:9614,05/12/24 04:34:00,7,7,0.002301493,0.002141493
380626:9614,05/12/24 04:39:38,14,14,0.004557204,0.004222548
380627:9614,05/12/24 04:48:42,808,808,0.193377180,0.188721317
380647:9618,05/12/24 22:28:59,375,375,0.163991139,0.148849042
380649:9618,05/13/24 01:56:38,400,400,0.168446477,0.159359409
380933:9651,05/19/24 16:19:32,772,772,0.011997488,0.011886862
380945:9653,05/20/24 06:39:35,245,245,0.100661698,0.094984174
380947:9653,05/20/24 11:38:49,822,822,0.264123795,0.256442339
380963:9654,05/20/24 20:42:43,922,922,0.371882883,0.354684763
381022:9659,05/21/24 23:53:15,585,585,0.213784875,0.202525362
381053:9661,05/22/24 09:14:55,107,107,0.033588766,0.032355940
381065:9662,05/22/24 12:16:48,785,785,0.348277598,0.328507047
381067:9662,05/22/24 17:33:10,313,313,0.123698143,0.118850488
381069:9662,05/22/24 20:20:02,307,307,0.098575098,0.093564541
381070:9662,05/22/24 22:21:18,425,425,0.115851656,0.113297764
381075:9663,05/23/24 03:44:42,426,426,0.184056378,0.173486014
381078:9663,05/23/24 06:53:58,328,328,0.141832930,0.134776654
381079:9663,05/23/24 09:06:56,392,392,0.137759098,0.132526351
381080:9663,05/23/24 11:44:26,335,335,0.098079755,0.094322214
381113:9664,05/23/24 18:23:22,238,234,0.094072637,0.087983609
381114:9664,05/23/24 20:11:10,453,453,0.208363997,0.196903116
381115:9664,05/23/24 23:12:32,1293,1293,0.407625345,0.395036440
381147:9666,05/24/24 11:18:29,186,186,0.075376924,0.070591424
381148:9666,05/24/24 12:38:03,264,264,0.081571281,0.076038471
381149:9666,05/24/24 14:31:15,133,133,0.062432824,0.058211305
381150:9666,05/24/24 15:25:36,41,41,0.018716958,0.017518065
381151:9666,05/24/24 15:45:41,847,847,0.303934218,0.290881567
381152:9666,05/24/24 21:19:14,193,193,0.052703735,0.051063315
381164:9667,05/25/24 00:51:30,1148,1148,0.517574951,0.483943972
381190:9670,05/25/24 13:16:44,1093,1093,0.491289684,0.461764142
381191:9670,05/25/24 20:25:58,1114,1114,0.333631431,0.323537071
381199:9672,05/26/24 09:25:18,150,150,0.056764611,0.052696453
381212:9674,05/27/24 04:02:15,372,372,0.167162649,0.156737286
381286:9677,05/27/24 16:09:15,711,711,0.325922761,0.301259101
381309:9680,05/28/24 06:47:14,425,425,0.192311089,0.180774982
381358:9683,05/28/24 18:58:02,3,3,0.000643621,0.000455269
381364:9684,05/28/24 21:34:05,382,382,0.166766207,0.155763654
381365:9684,05/29/24 00:22:44,594,594,0.234014613,0.254541830
381371:9686,05/29/24 06:46:06,194,194,0.079068585,0.074841393
381379:9687,05/29/24 10:50:00,829,829,0.373923418,0.350270414
381380:9687,05/29/24 16:17:34,1354,1354,0.382457908,0.398045043
381384:9691,05/30/24 05:24:04,3480,3480,1.046504135,1.003791141
381417:9694,05/31/24 13:50:23,1785,1785,0.712005852,0.675451268
381443:9696,06/01/24 12:16:15,1515,1515,0.619811700,0.587004383
381477:9700,06/02/24 11:50:04,278,278,0.116849585,0.110046666
381479:9700,06/02/24 13:58:03,434,434,0.204504526,0.191926418
381480:9700,06/02/24 16:48:38,1267,1267,0.418915435,0.403416423
381484:9701,06/03/24 03:15:04,820,820,0.374195444,0.349895653
381499:9705,06/03/24 16:18:24,195,195,0.078658217,0.073385101
381500:9705,06/03/24 17:37:39,92,92,0.043431846,0.039486604
381515:9707,06/03/24 22:01:00,507,507,0.229006606,0.213970719
381516:9707,06/04/24 01:22:53,1669,1669,0.582940645,0.556022684
381543:9708,06/04/24 14:37:55,512,512,0.235680806,0.221277706
381544:9708,06/04/24 18:12:43,1969,1969,0.638242230,0.614665462
382229:9806,06/20/24 09:39:20,305,305,0.023394504,0.022098141
382250:9808,06/20/24 16:24:45,889,889,0.224598401,0.215259687
382255:9810,06/21/24 04:47:31,95,95,0.029922912,0.028318495
382256:9810,06/21/24 05:26:51,67,67,0.031184020,0.027662524
382257:9810,06/21/24 06:11:04,70,70,0.032581297,0.029028122
382258:9810,06/21/24 06:41:16,1147,1147,0.500142997,0.479563173
382262:9810,06/21/24 14:31:56,252,252,0.079216677,0.076706921
382298:9812,06/21/24 19:39:36,53,53,0.014819054,0.014301652
382299:9812,06/21/24 20:38:11,806,806,0.384820999,0.356402352
382300:9812,06/22/24 01:55:26,1185,1185,0.383584823,0.371886154
382313:9813,06/22/24 11:50:52,389,389,0.174823068,0.166462369
382314:9813,06/22/24 14:26:01,295,295,0.141770816,0.134388475
382328:9816,06/22/24 22:38:19,88,88,0.033091411,0.031049599
382329:9816,06/22/24 23:16:38,150,150,0.072058046,0.067790752
382343:9819,06/23/24 13:01:16,2205,2205,0.986217135,0.930649407
382344:9819,06/24/24 03:22:08,355,355,0.129242766,0.124753402
382504:9832,06/27/24 14:22:09,349,349,0.152199034,0.144103336
382568:9838,06/28/24 23:55:16,405,405,0.179797320,0.169846586
382580:9840,06/29/24 07:43:50,1709,1709,0.714982689,0.682358278
382594:9842,06/30/24 02:29:05,1405,1405,0.621030503,0.591226943
382595:9842,06/30/24 11:37:12,853,853,0.256373892,0.248816036
382617:9843,06/30/24 19:33:03,701,701,0.305486275,0.291525750
382626:9846,07/01/24 07:24:48,358,358,0.160610144,0.151890989
382649:9848,07/01/24 14:36:50,478,478,0.215627968,0.198637608
382650:9848,07/01/24 17:47:17,234,234,0.113407987,0.107561022
382654:9849,07/01/24 21:54:59,1638,1638,0.743509603,0.700965443
382655:9849,07/02/24 08:36:08,394,394,0.127167076,0.122715377
382656:9849,07/02/24 11:12:31,294,294,0.079482821,0.076842128
382679:9851,07/02/24 21:51:44,71,71,0.020696545,0.020178979
382684:9852,07/03/24 00:51:55,1160,1160,0.543793397,0.510838735
382685:9852,07/03/24 08:26:34,483,482,0.180507624,0.173266445
382686:9852,07/03/24 11:40:25,141,141,0.043916510,0.042603430
382725:9857,07/03/24 21:33:58,369,369,0.164112535,0.154024645
382729:9859,07/04/24 06:43:25,54,54,0.015427711,0.014847128
382730:9859,07/04/24 07:13:29,52,52,0.023610874,0.021894200
382750:9860,07/04/24 11:35:32,528,528,0.247326734,0.231928138
382752:9860,07/04/24 15:08:42,709,709,0.332578266,0.315012442
382769:9861,07/05/24 00:19:42,1521,1521,0.662123815,0.627108372
382770:9861,07/05/24 10:19:22,585,585,0.164828659,0.160030453
382791:9862,07/05/24 17:32:53,105,105,0.031593998,0.029852900
382792:9862,07/05/24 18:18:12,80,80,0.038603059,0.030994191
382794:9862,07/05/24 18:54:44,13,13,0.006278361,0.005171174
382795:9862,07/05/24 19:03:19,468,468,0.226278097,0.212466295
382799:9864,07/06/24 01:44:41,615,615,0.275874634,0.259567856
382810:9865,07/06/24 09:09:34,70,70,0.018759648,0.017842507
382811:9865,07/06/24 09:42:19,396,396,0.191173862,0.178714387
382830:9867,07/06/24 23:56:53,75,75,0.023055023,0.022208021
382834:9869,07/07/24 04:03:04,763,763,0.352518652,0.329700642
