,Preselection,bb0FatJetPNetXbb >= 0.985,bb1FatJetPNetXbb >= 0.985,bb0FatJetPt >= 450,bb1FatJetPt >= 450,100 ≤ bb0FatJetPNetMass < 150
hh4b,4.8547708321307095,3.0468628442168466,1.046383964985553,1.046383964985553,1.046383964985553,0.9393003150529002
qcd,88336.52505824424,8837.298929676428,6.969885455319982,6.969885455319982,6.969885455319982,1.5907766356795408
data,149108.0,13653.0,35.0,35.0,35.0,11.0
ttbar,19436.97128979521,1604.018275367404,20.741885102251395,20.741885102251395,20.741885102251395,4.17824976136486
gghtobb,53.09146531670676,21.900306838673657,0.0,0.0,0.0,0.0
vbfhtobb,10.387142727834952,6.881783092264373,0.0,0.0,0.0,0.0
vhtobb,30.750787585206858,16.04527959719513,0.9238381623972127,0.9238381623972127,0.9238381623972127,0.4373481830497893
tthtobb,56.69824602132512,11.359946186212802,0.2768881106772029,0.2768881106772029,0.2768881106772029,0.19572189905506565
diboson,169.0366890388683,54.79324600044956,0.6150979949456314,0.6150979949456314,0.6150979949456314,0.18637030957211775
vjets,4442.597156120484,1067.1058736166565,1.6506399825175615,1.6506399825175615,1.6506399825175615,0.12021149707804579
